iter	Accuracy	MultiClass
796	0.959235818	0.09290715366
797	0.9592359511	0.09289848172
798	0.9592371008	0.09289257579
799	0.9592426803	0.09288932259
800	0.9592477515	0.09287897842
801	0.9592458634	0.09287359336
802	0.9592581238	0.09286958796
803	0.9592605686	0.09286564365
804	0.9592595157	0.0928601746
805	0.9592552313	0.09285302519
806	0.9592559696	0.09285278761
807	0.9592550014	0.09285261407
808	0.9592625658	0.09284674386
809	0.959269755	0.09283633711
810	0.9592726112	0.09283318985
811	0.9592772225	0.09283043576
812	0.9592850653	0.09282692525
813	0.9592858036	0.09282690842
814	0.9592855252	0.09282191654
815	0.9592860336	0.0928184398
816	0.9592825721	0.09281634804
817	0.959293828	0.09280354724
818	0.9592945663	0.09280270179
819	0.9592897251	0.09279771417
820	0.9592923998	0.0927919965
821	0.9592963697	0.09278508892
822	0.9593014893	0.09278184547
823	0.9593080855	0.09278076177
824	0.9593087753	0.09277301931
825	0.9593170781	0.09275909304
826	0.9593232144	0.09275591203
827	0.9593240011	0.09274425629
828	0.9593228029	0.092740381
829	0.9593324007	0.09272941073
830	0.9593275111	0.09272700773
831	0.959342773	0.09271842294
832	0.9593415748	0.09271494898
833	0.9593473481	0.09271076309
834	0.959347578	0.09270978642
835	0.9593555539	0.0927000576
836	0.9593804983	0.0926437825
837	0.9593849281	0.09263246998
838	0.9593854364	0.09263149625
839	0.9593883896	0.09262787372
840	0.9593974306	0.09261966724
841	0.9593970069	0.09261391302
842	0.9593925771	0.09261131426
843	0.9594008799	0.09260463709
844	0.9594144837	0.09259415516
845	0.9594176184	0.09258696739
846	0.9594221935	0.09258144498
847	0.959448203	0.09251615361
848	0.9594489413	0.09251539454
849	0.9594477915	0.09251322216
850	0.959455719	0.09251005665
851	0.9594598704	0.09250956162
852	0.9594589506	0.09250178298
853	0.9594559974	0.09250085718
854	0.9594594589	0.09249884959
855	0.9594696981	0.09249270899
856	0.9594710778	0.09248139332
857	0.9594796105	0.09247908929
858	0.9594779524	0.09247678137
859	0.959486715	0.09247420215
860	0.9594777225	0.092473264
861	0.9594856984	0.09246373398
862	0.9594883731	0.0924614867
863	0.9594835319	0.09245117093
864	0.9594950178	0.09244201777
865	0.9594969543	0.09243899252
866	0.9594963975	0.09243215775
867	0.9595011056	0.0924304177
868	0.9595107881	0.09238604913
869	0.9595456571	0.09233933807
870	0.9595403075	0.09233574234
871	0.9595527132	0.09233164185
872	0.9595519749	0.09233013678
873	0.9595493001	0.09232662878
874	0.9595455602	0.09232410534
875	0.9595523379	0.09230651584
876	0.959555751	0.09230260508
877	0.959557276	0.09228864738
